region_txt,attacktype_txt,extreme_event_count,extreme_total_casualties,avg_casualties_per_extreme_event,max_casualties_in_group
Middle East & North Africa,Bombing/Explosion,1424,176374,123.85814606741573,1583
South Asia,Bombing/Explosion,1229,147863,120.31163954076404,1312
Sub-Saharan Africa,Armed Assault,340,42422,124.77058823529413,1180
Sub-Saharan Africa,Bombing/Explosion,232,34804,150.01724137931035,4224
South Asia,Armed Assault,150,25253,168.35333333333332,1380
Central America & Caribbean,Bombing/Explosion,126,12642,100.33333333333333,300
Southeast Asia,Bombing/Explosion,104,10744,103.30769230769231,414
Western Europe,Bombing/Explosion,98,13695,139.74489795918374,268
Middle East & North Africa,Armed Assault,98,12506,127.6122448979593,670
Middle East & North Africa,Hijacking,78,20024,256.71794871794875,1790
Sub-Saharan Africa,Unknown,74,8088,109.2972972972973,404
Eastern Europe,Bombing/Explosion,66,6370,96.51515151515152,450
Sub-Saharan Africa,Hostage Taking (Kidnapping),62,9690,156.29032258064518,766
South America,Bombing/Explosion,56,7128,127.28571428571429,321
South Asia,Unknown,53,6374,120.26415094339623,515
South Asia,Unarmed Assault,46,5760,125.21739130434783,301
South America,Armed Assault,40,2884,72.1,97
Sub-Saharan Africa,Assassination,36,2597,72.13888888888889,135
Middle East & North Africa,Unknown,36,3068,85.22222222222223,151
Sub-Saharan Africa,Hostage Taking (Barricade Incident),22,4088,185.8181818181818,400
Sub-Saharan Africa,Hostage Taking (Kidnapping),22,2050,93.18181818181819,198
Middle East & North Africa,Hostage Taking (Barricade Incident),20,2166,108.3,210
Central America & Caribbean,Bombing/Explosion,18,2062,114.55555555555556,200
Middle East & North Africa,Assassination,18,2041,113.38888888888889,166
Sub-Saharan Africa,Bombing/Explosion,14,1830,130.71428571428572,819
Sub-Saharan Africa,Facility/Infrastructure Attack,14,2104,150.28571428571428,400
Southeast Asia,Armed Assault,14,1486,106.14285714285714,166
Southeast Asia,Bombing/Explosion,12,1216,101.33333333333333,556
Western Europe,Armed Assault,10,1756,175.6,520
Eastern Europe,Armed Assault,10,1362,136.2,281
Eastern Europe,Bombing/Explosion,10,908,90.8,187
East Asia,Unarmed Assault,8,13682,1710.25,553
East Asia,Armed Assault,8,1280,160,184
Eastern Europe,Facility/Infrastructure Attack,8,701,87.625,117
North America,Hijacking,6,49644,8274,12263
Eastern Europe,Hostage Taking (Barricade Incident),6,2724,454,1099
Middle East & North Africa,Facility/Infrastructure Attack,6,1472,245.33333333333334,382
Sub-Saharan Africa,Unarmed Assault,6,1266,211,490
North America,Facility/Infrastructure Attack,6,766,127.66666666666667,165
Eastern Europe,Hostage Taking (Kidnapping),4,790,197.5,226
Eastern Europe,Hostage Taking (Barricade Incident),4,764,191,393
North America,Hostage Taking (Barricade Incident),4,572,143,183
Middle East & North Africa,Unarmed Assault,4,478,119.5,136
Central America & Caribbean,Bombing/Explosion,2,240,120,140
North America,Armed Assault,2,1820,910,1061
Central Asia,Armed Assault,2,1600,800.0,800
North America,Unarmed Assault,2,1502,751.0,751
South Asia,Hostage Taking (Kidnapping),2,575,287.5,287
South Asia,Hijacking,2,340,170.0,170
Southeast Asia,Unarmed Assault,2,318,159.0,159
Western Europe,Armed Assault,2,235,117.5,117
Southeast Asia,Hostage Taking (Barricade Incident),2,230,115.0,115
East Asia,Unknown,2,208,104.0,104
South America,Unknown,2,200,100.0,100
Central America & Caribbean,Unknown,2,200,100.0,100
Southeast Asia,Hijacking,2,200,100.0,100
Eastern Europe,Assassination,2,194,97.0,97
Middle East & North Africa,Hijacking,2,188,94.0,94
Southeast Asia,Assassination,2,184,92.0,92
Western Europe,Hijacking,2,148,74.0,74
Western Europe,Facility/Infrastructure Attack,2,148,74.0,74
Sub-Saharan Africa,Assassination,2,146,73.0,73
Southeast Asia,Unknown,2,146,73.0,73
Central Asia,Armed Assault,2,136,68.0,68
Australasia & Oceania,Armed Assault,2,136,68.0,68
South America,Unarmed Assault,2,130,65.0,65
