eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
202103070024,2021,3,7,,0,,228,Yemen,10,Middle East & North Africa,Amanat Al Asimah,Sanaa,15.325444,44.211895,1,0,,"03/07/2021: Assailants fired projectiles into a hangar housing migrants in Sanaa, Amanat Al Asimah, Yemen. Sixty people were killed and 101 were injured when the building caught fire. Houthi extremists (Ansar Allah) claimed responsibility for the incident. Sources noted that prior to the attack, the migrants had been protesting over poor living conditions.",1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,65.0,Refugee (including Camps/IDP/Asylum Seekers),Unknown,Migrant Center,228.0,Yemen,14.0,Private Citizens & Property,65.0,Refugee (including Camps/IDP/Asylum Seekers),Not Applicable,Migrants,65.0,Ethiopia,,,,,,,,,Houthi extremists (Ansar Allah),,,,,,"The specific motive is unknown; however, sources noted that prior to the attack, the targeted migrants had been protesting against the poor living conditions in the camp.",0,,,0,-99,-99,1,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,7.0,Grenade,2.0,Chemical,,,,,,,,,,,Stun grenades and tear gas canisters were used in the attack.,60.0,0.0,0.0,101.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Immigration holding facility damaged,0,,,,,,,,,,,,,,,,,"""Houthis admit teargas fired by guards caused deadly fire at Yemen detention centre,"" Middle East Eye, March 21, 2021.","""Yemen Huthis voice 'deep regret' over migrant deaths, say 44 killed,"" Business Recorder, March 17, 2021.","""Yemen rebels present results of probe into deadly migrant centre fire,"" Saba news agency website, March 20, 2021.",START Primary Collection,0,1,1,1,
202105080009,2021,5,8,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.523842,69.140304,1,0,The incident occurred in Dashti Barchi neighborhood (6th police district).,"05/08/2021: An explosives-laden vehicle detonated and then two remote-controlled explosive devices detonated soon after targeting female students leaving an educational center in Dashti Barchi, Kabul, Afghanistan. At least 95 civilians were killed and another 200 were injured in the blasts. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban, which denied involvement. Sources also suspected that the Khorasan Chapter of the Islamic State was involved in the attack.",1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,8,Educational Institution,49.0,School/University/Educational Building,Unknown,Kawsar Institute,4.0,Afghanistan,14.0,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Afghanistan,,,,,,,,,Khorasan Chapter of the Islamic State,,Taliban,,,,"The specific motive is unknown; however, sources noted that the attack took place in a predominately Hazara area and may have been part of a larger trend of attacks on members of the Hazara community in Afghanistan.",1,1.0,,0,-99,0,0,,,0.0,,,,,,,6,Explosives,15.0,Vehicle,6.0,Explosives,12.0,Remote Trigger,,,,,,,,,An explosives-laden vehicle and two remote-controlled explosive devices were used in the attack.,95.0,0.0,0.0,200.0,0.0,0.0,-9,,,,,0,,,,,,,,,,,,,,,,,"""Death toll rises to 85 in Afghanistan girls' school bomb attack,"" CNN Wire, May 10, 2021.","""Survivors call for Kabul school bombing to be seen as act of genocide,"" Ariana News, May 16, 2021.","""Latest Videos Dozens dead in suicide bomb attack at school,"" CBS News, May 11, 2021.",START Primary Collection,0,1,0,1,
202106020009,2021,6,2,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Damboa,11.151905,12.758704,1,0,,"06/02/2021: Assailants, including suicide bombers, attacked Damboa, Borno, Nigeria. Fifty assailants were killed in the ensuing clash with security forces, and an unknown number of people were injured. The Al-Barnawi faction (Islamic State West Africa Province-ISWAP) of Boko Haram claimed responsibility for the incident.",1,1,1,0,,,0.0,0,1,3,Bombing/Explosion,2.0,Armed Assault,,,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Damboa Town,Town,147.0,Nigeria,,,,,,,,,,,,,,,,,Boko Haram,Al-Barnawi faction (Islamic State West Africa Province-ISWAP),,,,,,0,,,0,-99,0,1,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,15.0,Vehicle,6.0,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",5.0,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,"Explosives-laden vehicles fitted with locally fabricated armor plates, rocket-propelled grenades (RPGs), 12 gun trucks mounted with anti-aircraft guns, 14.5-mm and 12.7-mm heavy machine guns, and AK-47 assault rifles were used in the attack.",50.0,0.0,50.0,,0.0,,0,,,,,0,,,,,,,,,,,,,,,,,"""‘Over 50 insurgents’ killed as troops repel attack in Borno,"" TheCable, June 2, 2021.","""IS claims killing 20 soldiers, policemen in northeast Nigeria attack,"" Telegram messaging service, June 5, 2021.",,START Primary Collection,0,0,0,0,
202101020002,2021,1,2,,0,,146,Niger,11,Sub-Saharan Africa,Tillaberi,Tchombangou,14.829722,1.812222,1,0,,"01/02/2021: Assailants aboard motorcycles opened fire on the village of Tchombangou, Tillaberi region, Niger. Seventy-three people were killed in the attack and thirteen were injured. This was one of two related incidents targeting villages in the area on this date. The Islamic State in the Greater Sahara (ISGS) claimed responsibility for the attack stated it was ""avenging the deaths of Muslims killed at the hands of militias"" and claimed the targets of the attack were members of government-affiliated militias. Authorities suspected the attack was conducted in retaliation for the earlier killing of two fighters by villagers.",1,1,1,0,,,1.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Tchombangou Village,Village,146.0,Niger,,,,,,,,,,,,,,,,,Islamic State in the Greater Sahara (ISGS),,,,,,"Islamic State in the Greater Sahara (ISGS) claimed responsibility for the attack and stated it was ""avenging the deaths of Muslims killed at the hands of militias."" ISGS also claimed the targets of the attack were members of government-affiliated militias. Authorities suspected the attack was conducted in retaliation for the earlier killing of two fighters by villagers.",0,,,0,100,0,1,7.0,"Posted to website, blog, etc.",,,,,,,,5,Firearms,5.0,Unknown Gun Type,8.0,Incendiary,18.0,Arson/Fire,,,,,,,,,,73.0,0.0,0.0,13.0,0.0,0.0,-9,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here. Casualty numbers represent a division of the total number of those wounded across incidents 202101020002 and 202101020004.","""Dozens of civilians killed in Niger gun attacks,"" Al Jazeera, January 3, 2021.","""100 dead in attacks on two villages in Niger,"" The Observer Uganda, January 4, 2021.","""Dozens of civilians killed in terrorist attack in Niger,"" TRT World, January 2, 2021.",START Primary Collection,1,1,0,1,"202101020004, 202101020002"
202101120023,2021,1,12,,0,,65,Ethiopia,11,Sub-Saharan Africa,Benishangul-Gumuz,Daletti,9.866667,36.1,1,0,,"01/12/2021: Assailants attacked Daletti village with rifles and swords in Benishangul-Gumuz Region, Ethiopia. Eighty civilians were killed and 24 wounded in the attack, with many from the Amhara and Agaw ethnic groups. No group claimed responsibility for the incident; however, sources attributed the attack to the Oromo Liberation Front (OLF) and a Gumuz militia. The perpetrators allegedly chanted ""leave our land.""",1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Daletti Village,Village,65.0,Ethiopia,,,,,,,,,,,,,,,,,Oromo Liberation Front,,Gumuz militia,,,,,0,0.0,,0,-99,0,0,,,0.0,,,,,,,5,Firearms,4.0,Rifle/Shotgun (non-automatic),9.0,Melee,23.0,Knife or Other Sharp Object,,,,,,,,,Rifles and swords were used in the attack.,80.0,0.0,0.0,24.0,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here.","""Dozens Die in Ethnic Massacre in Tense Ethiopian Region,"" The New York Times, January 14, 2021.","""Metekel, Ethiopia : death toll from the latest attack well over one hundred,"" Borkena.com, January 14, 2021.","""Benishangul: At least 60 civilians mostly women, children killed,"" Borkena.com, January 13, 2021.",START Primary Collection,0,0,0,0,
202103150008,2021,3,15,,1,,123,Mali,11,Sub-Saharan Africa,Gao,Tessit,15.223681,0.291356,1,0,The incident occurred on the Lellehoxe-Tessit axis.,"03/15/2021: Assailants attacked a military post on the Lellehoxe-Tessit axis in Tessit, Gao, Mali. Thirty-three soldiers and 20 assailants were killed and 14 soldiers were wounded in the attack. Additionally, 11 soldiers were abducted and the outcome of the abduction is unknown. Islamic State West Africa Province-ISWAP claimed responsibility for the attack.",1,1,0,1,1.0,Insurgency/Guerilla Action,0.0,1,0,2,Armed Assault,7.0,Facility/Infrastructure Attack,,,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Malian Armed Forces,Post,123.0,Mali,,,,,,,,,,,,,,,,,Islamic State in the Greater Sahara (ISGS),,,,,,,0,,,0,100,0,1,7.0,"Posted to website, blog, etc.",,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,53.0,0.0,20.0,14.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Three vehicles damaged,-9,,,,,,,,,,,,,,,,"Casualties conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Malian armed forces say 11 dead, 11 missing after ambush by militants,"" Deutsche Presse-Agentur, March 17, 2021.","""Islamic State claims attack against Mali army last Monday,"" Malay Mail, March 21, 2021.","""Attack in Mali kills more than 33 soldiers, injures 14 others,"" MENAFN - Business & Finance News (English), March 18, 2021.",START Primary Collection,0,0,0,0,
202103180028,2021,3,18,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Gwoza district,11.085743,13.692613,3,0,,"03/18/2021: Assailants attacked soldiers in Gwoza district, Borno, Nigeria. At least 57 assailants were killed in the ensuing clash. This was one of two attacks in this area on this day. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",1,1,1,0,,,1.0,0,0,9,Unknown,,,,,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Gwoza Village,Village,147.0,Nigeria,,,,,,,,,,,,,,,,,Boko Haram,,,,,,,0,,,0,-99,0,0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,57.0,0.0,57.0,,0.0,,0,,,,,0,,,,,,,,,,,,,,,,This incident is part of a set of coordinated attacks in which both military and non-military entities were targeted.,"""Boko Haram: Troops kill 57 terrorists in Damboa,"" Daily Post Nigeria, March 23, 2021.",,,START Primary Collection,0,0,0,0,"202103180027, 202103180028"
202104150043,2021,4,15,04/15/2021,1,,65,Ethiopia,11,Sub-Saharan Africa,Amhara,Ataye,10.35028,39.93626,1,0,,"04/15/2021: Assailants attacked Ataye, Amhara, Ethiopia. This was one of four related attacks in this area on this date. At least 200 people were killed across all of the attacks. No group claimed responsibility for the incident; however, sources attributed the attack to the Oromo Liberation Front.",1,1,1,0,,,1.0,1,0,2,Armed Assault,7.0,Facility/Infrastructure Attack,,,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Ataye Town,Town,65.0,Ethiopia,4.0,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Ethiopian National Defense Forces (ENDF),Troops,65.0,Ethiopia,,,,,,,,,Oromo Liberation Front,Oromo Liberation Army,,,,,"The specific motive is unknown; however, sources suspected that the victims, who were members of the Amhara community, may have been targeted as part of a larger trend of sectarian violence between Ethiopia's two largest ethnic groups, the Amhara and Oromo.",0,,,0,-99,0,0,,,,,,,,,,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",5.0,Firearms,5.0,Unknown Gun Type,8.0,Incendiary,18.0,Arson/Fire,,,,,"Heavy artillery, firearms, and fire were used in the attack.",50.0,0.0,0.0,,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Houses damaged,0,,,,,,,,,,,,,,,,"This incident is part of a set of coordinated attacks in which both military and non-military entities were targeted. Casualty numbers represent a division of the total number of those killed across incidents 202104150043, 202104150044, 202104150045, and 202104150046.","""Death toll from violence in Ethiopia’s Amhara ‘may be 200’,"" Al Jazeera, April 25, 2021.","""Ethiopia declares state of emergency in Amhara state,"" Anadolu Ajansi, April 19, 2021.","""Renewed attack in Ataye, Ephrata Gidim area reported,"" Borkena.com, April 17, 2021.",START Primary Collection,0,0,0,0,"202104150043, 202104150044, 202104150045, 202104150046"
202104150044,2021,4,15,04/15/2021,1,,65,Ethiopia,11,Sub-Saharan Africa,Amhara,Alalay,11.5,38.5,2,0,,"04/15/2021: Assailants attacked Alalay, Amhara, Ethiopia. This was one of four related attacks in this area on this date. At least 200 people were killed across all of the attacks. No group claimed responsibility for the incident; however, sources attributed the attack to the Oromo Liberation Front.",1,1,1,0,,,1.0,1,0,2,Armed Assault,7.0,Facility/Infrastructure Attack,,,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Alalay Town,Town,65.0,Ethiopia,4.0,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Ethiopian National Defense Forces (ENDF),Troops,65.0,Ethiopia,,,,,,,,,Oromo Liberation Front,Oromo Liberation Army,,,,,"The specific motive is unknown; however, sources suspected that the victims, who were members of the Amhara community, may have been targeted as part of a larger trend of sectarian violence between Ethiopia's two largest ethnic groups, the Amhara and Oromo.",0,,,0,-99,0,0,,,,,,,,,,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",5.0,Firearms,5.0,Unknown Gun Type,8.0,Incendiary,18.0,Arson/Fire,,,,,"Heavy artillery, firearms, and fire were used in the attack.",50.0,0.0,0.0,,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Houses damaged,0,,,,,,,,,,,,,,,,"This incident is part of a set of coordinated attacks in which both military and non-military entities were targeted. Casualty numbers represent a division of the total number of those killed across incidents 202104150043, 202104150044, 202104150045, and 202104150046.","""Death toll from violence in Ethiopia’s Amhara ‘may be 200’,"" Al Jazeera, April 25, 2021.","""Ethiopia declares state of emergency in Amhara state,"" Anadolu Ajansi, April 19, 2021.","""Renewed attack in Ataye, Ephrata Gidim area reported,"" Borkena.com, April 17, 2021.",START Primary Collection,0,0,0,0,"202104150043, 202104150044, 202104150045, 202104150046"
202104150045,2021,4,15,04/15/2021,1,,65,Ethiopia,11,Sub-Saharan Africa,Amhara,Kara Kore,10.42154,39.93512,1,0,,"04/15/2021: Assailants attacked Kara Kore, Amhara, Ethiopia. This was one of four related attacks in this area on this date. At least 200 people were killed across all of the attacks. No group claimed responsibility for the incident; however, sources attributed the attack to the Oromo Liberation Front.",1,1,1,0,,,1.0,1,0,2,Armed Assault,7.0,Facility/Infrastructure Attack,,,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Kara Kore Town,Town,65.0,Ethiopia,4.0,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Ethiopian National Defense Forces (ENDF),Troops,65.0,Ethiopia,,,,,,,,,Oromo Liberation Front,Oromo Liberation Army,,,,,"The specific motive is unknown; however, sources suspected that the victims, who were members of the Amhara community, may have been targeted as part of a larger trend of sectarian violence between Ethiopia's two largest ethnic groups, the Amhara and Oromo.",0,,,0,-99,0,0,,,,,,,,,,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",5.0,Firearms,5.0,Unknown Gun Type,8.0,Incendiary,18.0,Arson/Fire,,,,,"Heavy artillery, firearms, and fire were used in the attack.",50.0,0.0,0.0,,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Houses damaged,0,,,,,,,,,,,,,,,,"This incident is part of a set of coordinated attacks in which both military and non-military entities were targeted. Casualty numbers represent a division of the total number of those killed across incidents 202104150043, 202104150044, 202104150045, and 202104150046.","""Death toll from violence in Ethiopia’s Amhara ‘may be 200’,"" Al Jazeera, April 25, 2021.","""Ethiopia declares state of emergency in Amhara state,"" Anadolu Ajansi, April 19, 2021.","""Renewed attack in Ataye, Ephrata Gidim area reported,"" Borkena.com, April 17, 2021.",START Primary Collection,0,0,0,0,"202104150043, 202104150044, 202104150045, 202104150046"
